id	region_id	name	short_name	slug	group_id	province_id	group_slug	latitude	longitude
21953|	21552|	Valdivia|	Valdivia|	valdivia|	152|	21558|	capital|	NULL|	NULL|
21954|	21697|	Punta Arenas|	Punta Arenas|	punta-arenas|	152|	21701|	capital|	-53.1638|	-70.917|
21955|	21697|	Puerto Natales|	Puerto Natales|	puerto-natales|	152|	21710|	capital|	NULL|	NULL|
21956|	21663|	Cauquenes|	Cauquenes|	cauquenes|	152|	21664|	capital|	NULL|	NULL|
21957|	21663|	Curicó|	Curicó|	curico|	152|	21668|	capital|	NULL|	NULL|
21958|	21663|	Hualañé|	Hualañé|	hualane|	152|	21668|	capital|	NULL|	NULL|
21959|	21663|	Molina|	Molina|	molina|	152|	21668|	capital|	NULL|	NULL|
21960|	21663|	Teno|	Teno|	teno|	152|	21668|	capital|	NULL|	NULL|
21961|	21663|	Linares|	Linares|	linares|	152|	21678|	capital|	NULL|	NULL|
21962|	21663|	Longaví|	Longaví|	longavi|	152|	21678|	capital|	NULL|	NULL|
21963|	21663|	Parral|	Parral|	parral|	152|	21678|	capital|	NULL|	NULL|
21964|	21663|	San Javier|	San Javier|	san-javier|	152|	21678|	capital|	NULL|	NULL|
21965|	21663|	Villa Alegre|	Villa Alegre|	villa-alegre|	152|	21678|	capital|	NULL|	NULL|
21966|	21663|	Constitución|	Constitución|	constitucion|	152|	21686|	capital|	NULL|	NULL|
21967|	21663|	San Clemente|	San Clemente|	san-clemente|	152|	21686|	capital|	NULL|	NULL|
21968|	21663|	Talca|	Talca|	talca|	152|	21686|	capital|	NULL|	NULL|
21969|	21713|	Colina|	Colina|	colina|	152|	21714|	capital|	NULL|	NULL|
21970|	21713|	Batuco|	Batuco|	batuco|	152|	21714|	capital|	NULL|	NULL|
21971|	21713|	Lampa|	Lampa|	lampa|	152|	21714|	capital|	NULL|	NULL|
21972|	21713|	Tiltil|	Tiltil|	tiltil|	152|	21714|	capital|	NULL|	NULL|
21973|	21713|	Pirque|	Pirque|	pirque|	152|	21718|	capital|	NULL|	NULL|
21974|	21713|	Puente Alto|	Puente Alto|	puente-alto|	152|	21718|	capital|	NULL|	NULL|
21975|	21713|	San José De Maipo|	San José De Maipo|	san-jose-de-maipo|	152|	21718|	capital|	NULL|	NULL|
21976|	21713|	Alto Jahuel|	Alto Jahuel|	alto-jahuel|	152|	21722|	capital|	NULL|	NULL|
21977|	21713|	Buin|	Buin|	buin|	152|	21722|	capital|	NULL|	NULL|
21978|	21713|	Bajos De San Agustín|	Bajos De San Agustín|	bajos-de-san-agustin|	152|	21722|	capital|	NULL|	NULL|
21979|	21713|	Hospital|	Hospital|	hospital|	152|	21722|	capital|	NULL|	NULL|
21980|	21713|	Paine|	Paine|	paine|	152|	21722|	capital|	NULL|	NULL|
21981|	21713|	San Bernardo|	San Bernardo|	san-bernardo|	152|	21722|	capital|	NULL|	NULL|
21982|	21713|	Curacaví|	Curacaví|	curacavi|	152|	21727|	capital|	NULL|	NULL|
21983|	21713|	Melipilla|	Melipilla|	melipilla|	152|	21727|	capital|	NULL|	NULL|
21984|	21713|	Cerrillos|	Cerrillos|	cerrillos|	152|	21733|	capital|	NULL|	NULL|
21985|	21713|	Cerro Navía|	Cerro Navía|	cerro-navia|	152|	21733|	capital|	NULL|	NULL|
21986|	21713|	Conchalí|	Conchalí|	conchali|	152|	21733|	capital|	NULL|	NULL|
21987|	21713|	El Bosque|	El Bosque|	el-bosque|	152|	21733|	capital|	NULL|	NULL|
21988|	21713|	Estación Central|	Estación Central|	estacion-central|	152|	21733|	capital|	NULL|	NULL|
21989|	21713|	Huechuraba|	Huechuraba|	huechuraba|	152|	21733|	capital|	NULL|	NULL|
21990|	21713|	Independencia|	Independencia|	independencia|	152|	21733|	capital|	NULL|	NULL|
21991|	21713|	La Cisterna|	La Cisterna|	la-cisterna|	152|	21733|	capital|	NULL|	NULL|
21992|	21713|	La Florida|	La Florida|	la-florida|	152|	21733|	capital|	NULL|	NULL|
21993|	21713|	La Granja|	La Granja|	la-granja|	152|	21733|	capital|	NULL|	NULL|
21994|	21713|	La Pintana|	La Pintana|	la-pintana|	152|	21733|	capital|	NULL|	NULL|
21995|	21713|	La Reina|	La Reina|	la-reina|	152|	21733|	capital|	NULL|	NULL|
21996|	21713|	Las Condes|	Las Condes|	las-condes|	152|	21733|	capital|	NULL|	NULL|
21997|	21713|	Lo Barnechea|	Lo Barnechea|	lo-barnechea|	152|	21733|	capital|	NULL|	NULL|
21998|	21713|	Lo Espejo|	Lo Espejo|	lo-espejo|	152|	21733|	capital|	NULL|	NULL|
21999|	21713|	Lo Prado|	Lo Prado|	lo-prado|	152|	21733|	capital|	NULL|	NULL|
22000|	21713|	Macul|	Macul|	macul|	152|	21733|	capital|	NULL|	NULL|
22001|	21713|	Maipú|	Maipú|	maipu|	152|	21733|	capital|	NULL|	NULL|
22002|	21713|	Ñuñoa|	Ñuñoa|	nunoa|	152|	21733|	capital|	NULL|	NULL|
22003|	21713|	Pedro Aguirre Cerda|	Pedro Aguirre Cerda|	pedro-aguirre-cerda|	152|	21733|	capital|	NULL|	NULL|
22004|	21713|	Peñalolén|	Peñalolén|	penalolen|	152|	21733|	capital|	NULL|	NULL|
22005|	21713|	Providencia|	Providencia|	providencia|	152|	21733|	capital|	NULL|	NULL|
22006|	21713|	Pudahuel|	Pudahuel|	pudahuel|	152|	21733|	capital|	NULL|	NULL|
22007|	21713|	Quilicura|	Quilicura|	quilicura|	152|	21733|	capital|	NULL|	NULL|
22008|	21713|	Quinta Normal|	Quinta Normal|	quinta-normal|	152|	21733|	capital|	NULL|	NULL|
