id	region_id	name	short_name	slug	group_id	province_id	group_slug	latitude	longitude
9471|	5924|	Mérida|	Mérida|	merida|	152|	5925|	agencias-de-viajes-virtuales|	NULL|	NULL|
9472|	6875|	Aranjuez|	Aranjuez|	aranjuez|	152|	6876|	capital|	40.0333|	-3.6166|
9473|	6875|	Villanueva de la Cañada|	Villanueva de la Cañada|	villanueva-de-la-canada|	3|	6876|	municipio|	40.4467|	-4.00495|
9474|	2715|	Ciudad Rodrigo|	Ciudad Rodrigo|	rodrigo|	152|	3741|	capital|	40.5969|	-6.5225|
9475|	6875|	El Escorial|	El Escorial|	el-escorial|	152|	6876|	capital|	40.5847|	-4.1269|
9476|	1515|	Ribadesella|	Ribadesella|	ribadesella|	152|	1516|	capital|	43.4459|	-5.0834|
9478|	6875|	Collado Villalba|	Collado Villalba|	collado-villalba|	3|	6876|	municipio|	40.6333|	-4.00833|
9479|	6875|	Cercedilla|	Cercedilla|	cercedilla|	3|	6876|	municipio|	40.7411|	-4.05694|
9480|	6875|	Becerril de la Sierra|	Becerril de la Sierra|	becerril-de-la-sierra|	152|	6876|	capital|	40.7075|	-3.99277|
9481|	6875|	Navacerrada|	Navacerrada|	navacerrada|	3|	6876|	municipio|	40.7331|	-4.02222|
9482|	7056|	Cartagena|	Cartagena|	cartagena|	152|	7057|	capital|	37.6|	-0.981944|
9483|	1|	Villacarrillo|	Villacarrillo|	villacarrillo|	152|	475|	capital|	NULL|	NULL|
9484|	1|	Baeza|	Baeza|	baeza|	152|	475|	capital|	NULL|	NULL|
9485|	1|	Úbeda|	Úbeda|	ubeda|	152|	475|	capital|	NULL|	NULL|
9486|	1|	Cazorla|	Cazorla|	cazorla|	152|	475|	capital|	NULL|	NULL|
9487|	6699|	Haro|	Haro|	haro|	152|	6700|	capital|	NULL|	NULL|
9488|	6310|	Cambados|	Cambados|	cambados|	3|	6567|	municipio|	42.505|	-8.80782|
9489|	6310|	Combarro|	Combarro|	combarro|	3|	6567|	municipio|	42.4319|	-8.70649|
9490|	6310|	El Grove|	El Grove|	el-grove|	3|	6567|	municipio|	42.4785|	-8.88778|
9491|	6310|	Finisterre|	Finisterre|	finisterre|	3|	6311|	municipio|	42|	-9|
9492|	6310|	Mugía|	Mugía|	mugia|	3|	6311|	municipio|	43|	-9|
9493|	6310|	Muros|	Muros|	muros|	3|	6311|	municipio|	42.7754|	-9.05934|
